PERMNO,betav
11628,0.80274
11628,0.80274
11628,0.80274
11628,0.80274
11628,0.80274
11628,0.80274
11628,0.80274
11628,0.80274
11644,2.46699
11644,2.46699
11644,2.46699
11644,2.46699
11644,2.46699
11644,2.46699
11644,2.46699
11644,2.46699
11644,2.46699
11644,2.46699
11664,0.50914
11664,0.50914
11674,0.36504
11674,0.36504
11674,0.36504
11674,0.36504
11674,0.36504
11674,0.36504
11674,0.36504
11674,0.36504
11691,1.83879
11691,1.83879
11691,1.83879
11691,1.83879
11691,1.83879
11691,1.83879
11691,1.83879
11691,1.83879
11691,1.83879
11707,2.01097
11707,2.01097
11707,2.01097
11707,2.01097
11707,2.01097
11707,2.01097
11707,2.01097
11707,2.01097
11707,2.01097
11707,2.01097
11731,1.23404
11731,1.23404
11731,1.23404
11731,1.23404
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11762,1.56774
11809,1.0043
11809,1.0043
11809,1.0043
11809,1.0043
11845,1.32199
11845,1.32199
11845,1.32199
11845,1.32199
11845,1.32199
11845,1.32199
11845,1.32199
11845,1.32199
11845,1.32199
11845,1.32199
11845,1.32199
11850,1.21366
11850,1.21366
11850,1.21366
11850,1.21366
11850,1.21366
11850,1.21366
11850,1.21366
11850,1.21366
11850,1.21366
11891,1.4984
11891,1.4984
11891,1.4984
11891,1.4984
11891,1.4984
11891,1.4984
11891,1.4984
11891,1.4984
11891,1.4984
11955,0.39347
11955,0.39347
11955,0.39347
11955,0.39347
11955,0.39347
11955,0.39347
11955,0.39347
11990,1.75939
11990,1.75939
11990,1.75939
11990,1.75939
11990,1.75939
12007,0
12007,0
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12008,2.79069
12009,1.94648
12009,1.94648
12015,1.09564
12015,1.09564
12015,1.09564
12015,1.09564
12015,1.09564
12036,1.57182
12036,1.57182
12036,1.57182
12036,1.57182
12036,1.57182
12036,1.57182
12036,1.57182
12036,1.57182
12036,1.57182
12036,1.57182
12036,1.57182
12039,-0.16061
12039,-0.16061
12039,-0.16061
12039,-0.16061
12049,0.41279
12052,1.23813
12052,1.23813
12052,1.23813
12052,1.23813
12052,1.23813
12052,1.23813
12052,1.23813
12052,1.23813
12060,2.10372
12060,2.10372
12060,2.10372
12060,2.10372
12060,2.10372
12060,2.10372
12060,2.10372
12060,2.10372
12060,2.10372
12062,0.93956
12062,0.93956
12062,0.93956
12062,0.93956
12062,0.93956
12062,0.93956
12062,0.93956
12062,0.93956
12062,0.93956
12070,1.06417
12070,1.06417
12070,1.06417
12070,1.06417
12076,1.34491
12078,0.74048
12078,0.74048
12078,0.74048
12078,0.74048
12093,0.50631
12093,0.50631
12103,0.42013
12103,0.42013
12103,0.42013
12103,0.42013
12211,0.6206
12211,0.6206
12211,0.6206
12211,0.6206
12211,0.6206
12293,2.42835
12293,2.42835
12293,2.42835
12293,2.42835
12293,2.42835
12293,2.42835
12325,2.23258
12325,2.23258
12325,2.23258
12325,2.23258
12329,0.43933
12329,0.43933
12329,0.43933
12331,-0.11721
12331,-0.11721
12331,-0.11721
12331,-0.11721
12332,2.54429
12332,2.54429
12332,2.54429
12332,2.54429
12339,1.11223
12339,1.11223
12339,1.11223
12340,1.27704
12340,1.27704
12340,1.27704
12341,0.50775
12341,0.50775
12341,0.50775
12345,1.84769
12345,1.84769
12345,1.84769
12345,1.84769
12365,1.59906
12365,1.59906
12365,1.59906
12366,0.89214
12367,-0.88118
12367,-0.88118
12367,-0.88118
12367,-0.88118
12367,-0.88118
12367,-0.88118
12368,0.22396
12368,0.22396
12369,1.55795
12373,1.43704
12373,1.43704
12373,1.43704
12373,1.43704
12374,0.7214
12374,0.7214
12376,1.2601
12376,1.2601
12376,1.2601
12377,2.18937
12377,2.18937
12377,2.18937
12379,0
12379,0
12379,0
12384,1.88391
12384,1.88391
12384,1.88391
12385,0.64586
12391,1.82611
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12431,1.19352
12437,2.05719
12437,2.05719
12437,2.05719
12447,-0.3216
12447,-0.3216
12448,1.04225
12448,1.04225
12448,1.04225
12449,1.09404
12449,1.09404
12451,0.77081
12451,0.77081
12451,0.77081
12451,0.77081
12451,0.77081
12452,0.07564
12472,0.83671
12472,0.83671
12472,0.83671
12473,2.29459
12473,2.29459
12473,2.29459
12476,2.07151
12476,2.07151
12477,1.09241
12477,1.09241
12490,1.01716
12490,1.01716
12490,1.01716
12490,1.01716
12490,1.01716
12490,1.01716
12490,1.01716
12503,2.6534
12503,2.6534
12503,2.6534
12503,2.6534
12503,2.6534
12503,2.6534
12503,2.6534
12503,2.6534
12503,2.6534
12503,2.6534
12503,2.6534
12503,2.6534
12513,0.58003
12513,0.58003
12514,0.7097
12514,0.7097
12514,0.7097
12515,1.29067
12515,1.29067
12515,1.29067
12515,1.29067
12515,1.29067
12516,0.43716
12516,0.43716
12516,0.43716
12521,1.7721
12521,1.7721
12521,1.7721
12521,1.7721
12521,1.7721
12523,0.18066
12523,0.18066
12523,0.18066
12527,-0.26797
12527,-0.26797
12528,0.4828
12528,0.4828
12528,0.4828
12528,0.4828
12540,1.03913
12540,1.03913
12540,1.03913
12541,1.20859
12541,1.20859
12542,1.3506
12542,1.3506
12542,1.3506
12542,1.3506
12543,0.35123
12543,0.35123
12543,0.35123
12556,0.66893
12556,0.66893
12556,0.66893
12556,0.66893
12558,1.10119
12558,1.10119
12558,1.10119
12558,1.10119
12559,1.74415
12560,1.32372
12560,1.32372
12560,1.32372
12560,1.32372
12566,0.97809
12566,0.97809
12566,0.97809
12569,0.48546
12569,0.48546
12569,0.48546
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12570,1.84886
12591,1.91356
12591,1.91356
12591,1.91356
12592,-0.43392
12592,-0.43392
12592,-0.43392
12592,-0.43392
12592,-0.43392
12592,-0.43392
12592,-0.43392
12592,-0.43392
12593,0.98074
12593,0.98074
12593,0.98074
12615,1.59582
12615,1.59582
12615,1.59582
12615,1.59582
12622,1.59368
12622,1.59368
12622,1.59368
12622,1.59368
12623,1.52112
