PERMNO,date,TICKER,PRC,RET
76892,20201231,BOKF,68.48,0.022853
76908,20200131,TRXC,1.36,-0.07483
76908,20200228,TRXC,1.18,-0.132353
76908,20200331,TRXC,0.3518,-0.701864
76908,20200430,TRXC,0.4147,0.178795
76908,20200529,TRXC,0.4233,0.020738
76908,20200630,TRXC,0.541,0.278053
76908,20200731,TRXC,0.4884,-0.097227
76908,20200831,TRXC,0.4027,-0.175471
76908,20200930,TRXC,0.3474,-0.137323
76908,20201030,TRXC,0.36,0.036269
76908,20201130,TRXC,0.47,0.305555
76908,20201231,TRXC,0.625,0.329787
76927,20200131,STRL,13.175,-0.064276
76927,20200228,STRL,13.66,0.036812
76927,20200331,STRL,9.5,-0.304539
76927,20200430,STRL,9.88,0.04
76927,20200529,STRL,9.05,-0.084008
76927,20200630,STRL,10.47,0.156906
76927,20200731,STRL,10.3,-0.016237
76927,20200831,STRL,14.14,0.372816
76927,20200930,STRL,14.16,0.001414
76927,20201030,STRL,14.7,0.038136
76927,20201130,STRL,15.99,0.087755
76927,20201231,STRL,18.61,0.163852
76928,20200131,,,
76928,20200228,,,
76928,20200331,,,
76928,20200430,,,
76928,20200529,,,
76928,20200630,,,
76928,20200731,,,
76928,20200831,,,
76928,20200930,,,
76928,20201030,,,
76928,20201130,SMTI,33.4,
76928,20201231,SMTI,49.9,0.494012
76932,20200131,ENB,40.67,0.02263
76932,20200228,ENB,37.43,-0.064654
76932,20200331,ENB,29.09,-0.222816
76932,20200430,ENB,30.68,0.054658
76932,20200529,ENB,32.45,0.07646
76932,20200630,ENB,30.42,-0.062558
76932,20200731,ENB,32,0.05194
76932,20200831,ENB,32.02,0.019676
76932,20200930,ENB,29.2,-0.08807
76932,20201030,ENB,27.56,-0.056164
76932,20201130,ENB,31.21,0.154963
76932,20201231,ENB,31.99,0.024992
76934,20200131,ISIG,0.79,0.082044
76934,20200228,ISIG,0.77,-0.025317
76934,20200331,ISIG,0.7399,-0.039091
76934,20200430,ISIG,0.7198,-0.027166
76934,20200529,ISIG,0.66,-0.083079
76934,20200630,ISIG,0.7149,0.083182
76934,20200731,ISIG,0.77,0.077074
76934,20200831,ISIG,0.7722,0.002857
76934,20200930,ISIG,0.666,-0.137529
76934,20201030,ISIG,0.8301,0.246396
76934,20201130,ISIG,1.0499,0.264787
76934,20201231,ISIG,0.8399,-0.200019
76946,20200131,TRNS,30.6,-0.039548
76946,20200228,TRNS,28.89,-0.055882
76946,20200331,TRNS,26.5,-0.082728
76946,20200430,TRNS,28.09,0.06
76946,20200529,TRNS,25.04,-0.10858
76946,20200630,TRNS,25.86,0.032748
76946,20200731,TRNS,27.9,0.078886
76946,20200831,TRNS,29.41,0.054122
76946,20200930,TRNS,29.3,-0.00374
76946,20201030,TRNS,30.91,0.054949
76946,20201130,TRNS,31.7,0.025558
76946,20201231,TRNS,34.68,0.094006
76948,20200131,MGIC,10.9,0.114519
76948,20200228,MGIC,9.75,-0.105505
76948,20200331,MGIC,8.04,-0.175385
76948,20200430,MGIC,9.15,0.13806
76948,20200529,MGIC,10.17,0.111475
76948,20200630,MGIC,11.3,0.118977
76948,20200731,MGIC,11.99,0.061062
76948,20200831,MGIC,15,0.265638
76948,20200930,MGIC,13.13,-0.124667
76948,20201030,MGIC,12.58,-0.041889
76948,20201130,MGIC,16.53,0.313991
76948,20201231,MGIC,15.65,-0.053237
76961,20200131,NTP,8.94,0.038328
76961,20200228,NTP,6.8,-0.239374
76961,20200331,NTP,5.5,-0.191176
76961,20200430,NTP,4.98,-0.094545
76961,20200529,NTP,5.87,0.178715
76961,20200630,NTP,6.25,0.064736
76961,20200731,NTP,8.4,0.344
76961,20200831,NTP,9.21,0.096429
76961,20200930,NTP,9.36,0.016287
76961,20201030,NTP,4.96,-0.470085
76961,20201130,NTP,5.02,0.012097
76961,20201231,NTP,5.85,0.165339
76963,20200131,NTN,2.23,0.013636
76963,20200228,NTN,2.125,-0.047085
76963,20200331,NTN,1.52,-0.284706
76963,20200430,NTN,1.1163,-0.265592
76963,20200529,NTN,1.12,0.003315
76963,20200630,NTN,2.2,0.964286
76963,20200731,NTN,2.03,-0.077273
76963,20200831,NTN,1.81,-0.108374
76963,20200930,NTN,1.7,-0.060773
76963,20201030,NTN,1.79,0.052941
76963,20201130,NTN,2.04,0.139665
76963,20201231,NTN,2.24,0.098039
77007,20200131,IMBI,3.65,-0.085213
77007,20200228,IMBI,2.99,-0.180822
77007,20200331,IMBI,1.97,-0.341137
77007,20200430,IMBI,2.4204,0.228629
77007,20200529,IMBI,3.75,0.549331
77007,20200630,IMBI,3.5,-0.066667
77007,20200731,IMBI,4.06,0.16
