tic,ch,dltt,ebit,emp,fatd,tie
VEL,21.465,1590.539,123.919,0.262,,
NUBF.,,,,,,
JIH,2.456,0,,0.002,,
GRNV,0.472,0,,0.002,,
PTBD,,,,,,
QEBL.,,,,,,
IDY,,,,,,
FJNK,,,,,,
PINE,12.342,0,3.626,0,,
SITM,63.418,7.94,-4.873,0.143,,
BXRX,17.74,0.455,-39.873,0.025,,
SPCE,480.443,22.141,-213.262,0.721,,
HERO,,,,,,
GXTG,,,,,,
BUG,,,,,,
AIO,,,,,,
PHGE,72.256,0.856,-22.207,0.086,,
HIBL,,,,,,
PNOV,,,,,,
BNOV,,,,,,
UNOV,,,,,,
IGAF.,,,,,,
IFRF.,,,,,,
ISIF.,,,,,,
CHPM,1.302,0,,0.003,,
ALUS,2.282,0,,0.001,,
ANPC,0.88,0,-12.85,0.111,,
EH,46.196,4.672,-6.656,0.24,,
MOHO,49.099,0.07,4.582,0.677,,
PTAC,1.413,0,-0.174,0.002,,
IMAB,163.359,10.87,-210.393,0.185,,
CAN,74.193,1.924,-151.448,0.333,,
WEBS,,,,,,
WEBL,,,,,,
HIBS,,,,,,
FCPI,,,,,,
DAUG,,,,,,
FAUG,,,,,,
VERO,15.666,61.229,-18.078,0.525,,
TDV,,,,,,
AHCO,76.878,395.345,48.249,2.59,,
AMHC,1.213,0,,0.003,,
SAQN,1.093,0,,0.002,,
OCFT,154.8,12.61,-233.627,3.631,,
MTGP,,,,,,
BRMK,238.214,0,107.305,0.041,,
BILL,90.306,0,-9.803,0.544,,
REYN,102,4239,565,5.1,,
PFLD,,,,,,
XP,27.346,229.134,366.987,2.429,,
BIPC,204,3526,1037,1.3,,
LIVK,0.529,0,,0.003,,
GTH,20.1,307.21,-45.588,0.697,,
ZCMD,7.833,0.041,3.643,,,
TQCD.,,,,,,
TGRE.,,,,,,
TQGD.,,,,,,
TULB.,,,,,,
TQGM.,,,,,,
TPAY.,,,,,,
CIIC,1.586,0,,0.003,,
HCCO,1.149,0,,0.002,,
KLR,16.103,23.634,5.281,0.267,,
UDEC,,,,,,
PDEC,,,,,,
BDEC,,,,,,
TPIF,,,,,,
TPSC,,,,,,
SPT,135.31,18.196,-47.268,0.623,,
URNM,,,,,,
AFSM,,,,,,
AFMC,,,,,,
AFLG,,,,,,
BBIN,,,,,,
KDFI,,,,,,
ADTX,0.004,0,-5.871,,,
RPAR,,,,,,
GRIL,0.479,0.315,-3.655,,,
IQSI,,,,,,
IQSU,,,,,,
SPUS,,,,,,
ARNC,72,346,364,15.4,,
RAFE,,,,,,
IMVT,100.571,0,-63.778,0.042,,
FLSP,,,,,,
BROG,19.831,102.785,31.274,0.016,,
MKD,2.177,0.357,-27.605,0.482,,
OBLG,4.602,4.863,-4.789,0.099,,
AEI,2.775,5.062,-6.751,,,
SCVX,0.025,0,,0.003,,
JOYY,,,,,,
SPSK,,,,,,
GBDV,,,,,,
NRBO,13.908,0.094,-8.025,0.012,,
GNRS,0.025,0,,,,
NBAC,0.109,0,,0.002,,
ONEM,27.39,120.497,-54.113,1.7,,
ARQT,63.336,0.129,-43.132,0.029,,
TARA,,,,,,
IPV,0,0,-0.001,,,
LIZI,11.877,0,-20.37,0.641,,
PPD,345.187,5761.9,455.661,23,,
CSPR,67.407,49.173,-87.92,0.831,,
SDGR,25.986,8.888,-38.715,0.394,,
BDTX,154.666,0,-29.332,0.032,,
DNK,98.417,96.115,-452.506,4.506,,
ATC,302.7,2179.1,201.2,3.783,,
RVMD,16.659,,-53.523,0.095,,
FTHM,0.579,0.713,-3.99,0.022,,
GHIV,0.001,0,,0.003,,
CCAC,0.3,0,,0.002,,
CCXX,0.034,0,,0.002,,
CCAP,4.576,322.01,45.065,0,,
DMYT,0,0,,0.002,,
PASG,158.874,0,-36.689,0.02,,
POWW,0.884,8.911,-14.028,,,
ESSC,0.048,0,-0.015,0.002,,
VEGN,,,,,,
VRT,,,,,,
PAE,,,,,,
OTIS,1446,386,1950,69,,
CARR,952,682,2475,52.635,,
AZEK,105.947,1114.494,68.088,,,
VNT,0,49.8,569.3,8.4,,
IMRA,4.936,0,-24.116,0.02,,
LSAC,0.025,0,,,,
ALTG,,,,,,
GSMG,,,,,,
SLQT,0.57,21.726,98.593,,,
MITQ,0.582,0,-0.039,0.042,,
NARI,23.639,19.481,0.92,0.24,,
DFPH,0.025,0,,0.003,,
LUNG,14.767,21.368,-17.838,,,
IPOB,0,0,,,,
IPOC,0,0,,,,
ACCD,33.155,21.144,-48.204,1.25,,
ORIC,89.159,0,-28.569,0.057,,
PCOR,118.452,83.656,-81.524,,,
CGRO,0,0,,,,
LOAK,0.02,0,,,,
ROCH,0.195,0,-0.002,,,
GDYN,,,,,,
BRLI,0.028,0,,,,
CHAQ,0.023,0,-0.001,0.002,,
LYRA,9.808,2.427,-16.519,0.034,,
ZNTL,67.246,1.695,-46.845,0.062,,
AYLA,16.725,0,-17.711,0.029,,
MSGE,1082.055,48.556,-49.927,11.3,,
SOAC,0,0,,,,
KROS,7.02,5.855,-10.005,0.023,,
LI,186.157,34.627,-264.332,2.628,,
HCDI,0.43,4.34,-0.159,,,
SONN,,,,,,
FCST,0.044,0,-1.375,0.009,,
LTRN,1.232,0,-2.428,,,
KC,290.574,10.678,-164.231,1.841,,
GOED,0.064,3.86,-2.194,0.067,,
DKNG,,,,,,
EDTK,11.931,0,13.243,,,
BMRG,0,0,,,,
EBON,3.464,17.993,-50.639,0.24,,
JWS,0,0,,,,
UCL,37.32,0,5.219,0.804,,
PLRX,85.807,0,-1.231,0.062,,
KRBP,1.929,0,-3.705,,,
BNR,13.534,3.315,-24.285,0.705,,
RNA,94.578,2.163,-17.332,,,
RPRX,283.682,5956.138,2623.176,,,
QLGN,,,,,,
DADA,165.827,0,-251.288,2.232,,
LEGN,83.364,5.058,-137.051,0.645,,
FOUR,3.7,635.1,22.2,,,
MCACU,0,0,,,,
AMTI,12.727,0.058,-28.29,0.049,,
VRM,217.734,0.181,-133.148,0.8,,
ATCX,,,,,,
VIRI,0.309,3.638,-2.179,,,
AYRO,,,,,,
NSRXD,,,,,,
ACEL,125.403,334.692,33.185,0.73,,
FMTX,173.18,0,-35.16,,,
RPTX,94.797,0.439,-26.377,0.064,,
GLSI,0.007,0,-3.425,,,
DDI,42.418,352.928,68.298,0.28,,
NKLA,,,,,,
QH,18.208,1.715,-1.237,0.551,,
API,105.604,0,-6.197,0.447,,
FUSN,65.344,5.741,-18.22,0.04,,
AKUS,25.078,13.331,-23.883,,,
RCHR,59.492,32.882,-31.457,0.337,,
LPRO,,,,,,
GBIO,15.076,0,-62.302,,,
PCVX,58.976,0,-54.153,,,
CARH,1.395,6.544,5.236,,,
GSAH,0.005,0,0,,,
FSKR,167,3371,345,0,,
PTK,0.181,0,,,,
BLCT,42.693,0,-8.738,0.491,,
PROG,33.042,72.405,-140.119,,,
JUPW,0.531,0.03,-0.919,0.005,,
EBC,135.503,29.367,284.42,1.863,,33.753
GOCO,12.276,288.654,46.435,1.857,,
TIG,74.268,27.149,36.249,0.24,,
GRCY,0.001,0,-0.023,,,
RXT,,4275.6,132.3,6.8,,
NKTX,20.607,5.78,-22.349,,,
BLI,81.033,20.846,-16.537,0.21,,
RLAY,41.954,23.583,-84.048,,,
ITOS,19.868,0,-28.048,,,
IAC,,,,,,
LMND,270.3,0,-107.9,0.329,,
ALXO,9.017,5.421,-19.183,,,
PAND,15.97,3.676,-22.219,,,
NCNO,91.184,0,-27.07,0.934,,
JAMF,32.433,201.319,-18.664,,,
MEG,6.411,145.046,-4.079,,,
VSTA,10.769,335.009,20.513,1.956,,
RKT,1350.972,11839.62,1170.14,,,
VITL,1.274,3.693,3.42,0.161,,
VMAR,0,0.13,0.338,,,
OSH,33.987,62.84,-100.191,2.3,,
KBNT,0.034,0,-3.316,,,
BIGC,7.795,54.207,-40.987,0.69,,
AFIB,9.452,40.298,-56.283,,,
AUVI,1.03,0.616,1.404,,,
NRIX,34.816,0,-22.236,,,
ANNX,43.931,0,-32.518,,,
INZY,31.605,0,-20.806,,,
FRLN,73.702,0,-63.644,,,
NTST,169.319,173.913,-2.791,,,
CMPI,4.185,0,-28.889,,,
YAC,,,,,,
ALVR,61.084,8.692,-26.701,,,
IKT,0.018,0.275,-5.698,,,
DCT,11.999,4,-13.523,,,
PXMD,0.025,0,-0.599,,,
BEPC,67,5571,823,,,
BEKE,3492.65,1121.897,-256.432,,,
LCAP,0,0,,,,
STPK,0,0,-0.01,,,
KYMR,76.015,17.816,-42.205,,,
PRFX,0.941,0,-0.689,0.005,,
AOUT,0.234,2.83,-14.047,0.262,,
CVAC,34.433,83.503,-111.655,,,
HRMY,24.457,97.946,-145.904,,,
MAXN,120.956,19.825,-136.163,5.194,,
NNOX,8.072,0.386,-22.571,,,
UPC,3.177,0,9.752,,,
AMST,1.009,0,-3.97,,,
CFII,0.025,0,,,,
SVAC,0.073,0,,,,
FIII,0.02,0,,,,
OM,36.926,21.561,-70.307,,,
SUMO,101.513,0,-83.401,,,
U,129.959,0,-147.069,,,
VTRU,0.611,21.376,5.114,5.711,,
INAQ,0,0,-0.001,,,
JZXN,0.442,0,3.72,,,
PLTR,1079.154,396.065,-553.044,2.391,,
DYN,14.632,0,-13.826,,,
ATHA,2.056,1.553,-5.449,,,
LNSR,4.615,56.95,-12.714,0.075,,
FROG,39.15,0,-4.952,,,
HYGO,49.949,337.686,-10.49,,,
AMWL,137.673,7.164,-92.684,0.686,,
MTCR,15.668,1.748,-30.004,,,
ASAN,306.02,213.569,-117.719,0.701,,
BNL,12.455,1982.383,134.989,0,,
PTVE,1189,7290,477,,,
CMPS,24.966,0,-18.45,,,
AZYO,2.482,19.612,-8.409,,,
LSF,1.004,0.051,-8.752,,,
NUVCF,60.072,831.188,24.11,,,
TSHA,0,0,,,,
HUDI,1.058,0,8.379,,,
AVO,64.008,178.595,106.507,,,
GDRX,26.05,701.022,141.846,,,
VIAO,10.476,13.033,-11.773,0.681,,
PACE,,,,,,
IMNM,2.543,0.113,-10.348,,,
PMVP,73.278,0,-26.637,,,
LCY,0,0,0,0.005,,
SPEL,1.134,144.353,-28.219,,,
ASO,149.385,2570.438,179.421,21,,
YALA,45.303,0,28.943,0.189,,
GRAY,15.87,0,-37.502,,,
PRLD,18.879,0,-28.109,,,
BSY,121.101,233.75,147.878,,,
APSG,0,0,-0.002,,,
EAR,13.384,7.446,-44.036,0.239,,
CCCC,90.549,12.869,-35.452,,,
TARS,57.952,0.1,-4.298,,,
ONCR,45.286,0,-31.166,,,
ALGS,69.565,15.053,-54.043,,,
BQ,12.476,31.671,-19.737,0.324,,
CRSR,48.165,503.448,26.171,,,
CD,149.202,426.661,-8.912,0.786,,
KRON,32.57,0.216,-16.816,,,
SPRB,3.924,3.193,-13.107,,,
STTK,7.013,0,-25.067,,,
LXEH,3.55,0,6.421,0.489,,
THRY,1.912,798.712,263.764,,,
BDSX,5.286,23.812,-22.627,,,
FHTX,14.981,11.117,-51.084,,,
MAX,10.028,96.665,33.672,,,
ROOT,391.7,91.8,-260.1,,,
IH,15.063,0,-40.041,0.437,,
MCFE,167,4756,148,,,
PRAX,44.815,0.763,-35.789,,,
ARRY,310.262,0,93.291,,,
LU,1055.923,2982.764,3117.51,84.647,,
WNW,0.546,0.766,-1.759,,,
MSP,27.597,546.641,29.225,,,
SQZ,39.255,32.887,-34.265,,,
LESL,90.899,1186.493,121.588,,,
VVOS,0.469,0,-10.577,0.097,,
AVIR,21.661,0,-14.608,,,
GATO,9.085,0,-10.781,,,
EZGO,3.634,0.007,2.248,,,
NGMS,6.016,17.787,5.31,,,
ALGM,214.491,17.7,59.85,,,
GLTO,11.294,0.211,-22.183,,,
SHC,62.863,2830.756,197.336,,,
MRVI,24.7,387.758,24.31,,,
UPST,44.389,122.126,21.91,,,
CNXC,79.656,0,364.805,,,
YQ,93.905,3.056,-143.631,1.953,,
YSG,97.168,24.565,20.647,,,
OZON,48,128,-299,13.007,,
OLMA,0.068,0,-4.323,,,
AFRM,320.448,569.234,-127.441,0.637,,
CERT,29.256,397.121,22.306,,,
DASH,257,167,-525,2.6,,
SEER,17.485,0,-16.883,,,
AAN,48.773,676.837,82.846,10.1,,
RBLX,301.493,0,-76.44,,,
ABNB,2013.547,381.374,-497.643,,,
MASS,17.913,21.71,-12.144,,,
KNTE,76.453,0,-12.012,,,
SGTX,76.069,21.676,-44.123,,,
AIRC,142.902,4562.897,170.531,,,
SBTX,9.976,3.324,-24.067,,,
WOOF,148.785,4398.23,129.6,,,
PUBM,34.25,0,9.211,,,
AI,33.104,5.647,-71.497,,,
ABCL,7.553,4.005,-4.117,0.107,,
BCAB,3.704,8.414,-28.268,,,
CFIV,,,,,,
VRPX,0.042,0,-3.182,,,
KUKE,3.305,1.364,9.384,0.108,,
POSH,63.318,0,-49.829,,,
MYTE,2.413,159.039,22.92,,,
SHLS,7.082,13.16,26.93,,,
PCT,0.15,19.409,-17.97,,,
ISPC,0.054,0,-3.881,,,
MNTK,9.788,57.767,13.448,,,
MSGM,1.96,0,-4.601,,,
CGEM,63.25,0,-22.27,,,
RLX,19.466,8.809,8.097,0.668,,
GRCL,44.817,19.919,-21.051,,,
VINP,0.887,21.184,45.634,0.177,,
OCDX,72,3467,106.5,,,
APGB,0,0,-0.002,,,
DRVN,34.935,1301.913,88.26,,,
PLTK,266.8,2372.2,548,,,
TIXT,79.5,477.7,120.2,38.102,,
PAX,4.12,1.888,64.555,0.167,,
ALF,0.039,0,-0.022,,,
HMPT,30.63,569.858,13.372,,,
BOLT,34.826,7.089,-30.967,,,
ONTF,18.844,23.058,-16.101,,,
BMBL,57.449,9.797,93.253,,,
DFH,44.007,24.013,68.599,,,
PHVS,22.809,0,-8.989,0.003,,
NEXI,9.129,0.012,-20.886,,,
SGFY,27.7,264.6,19.6,,,
IMCR,97.961,50.723,-156.948,0.459,,
RAAS,23.57,13.814,-25.253,,,
DSP,4.815,17.5,13.266,,,
SNSE,0.251,,-12.435,,,
APR,74.691,184.321,53.372,,,
LHDX,4.1,0.711,-13.858,,,
VOR,6.466,0,-10.417,,,
TERN,12.327,0,-35.197,,,
ADAG,92.534,1.516,-19.169,,,
DBTX,18.6,0,-44.081,,,
TLIS,21.604,0,-26.699,,,
CGNT,201.09,26.956,22.521,2.119,,
AGFY,0.206,0,-3.091,,,
LABP,9.808,0,-13.29,,,
SANA,80.03,46.359,-123.292,,,
VLON,3.821,0.254,-3.154,,,
MOVE,4.291,0,-8.512,,,
OSCR,336.644,0,-263.334,,,
SNCY,51.006,320.636,153.401,1.532,,
JOAN,24.4,1858,50.4,,,
CPNG,1222.276,1164.909,-643.837,,,
HAYW,47.2,1147.8,82.4,,,
NAPA,3.765,404.964,70.933,,,
INNV,59.661,191.147,40.503,,,
DOCN,32.906,175.903,-29.905,,,
APP,396.247,1182.059,200.169,,,
ALHC,86.484,137.957,-29.484,,,
COUR,55.986,0,-48.394,,,
ULCC,768,1969,336,4.935,,
ALKT,11.982,0,-42.535,,,
GANX,0.304,0.099,-2.099,,,
EBET,0.068,0,0.024,,,
RXDX,,,,,,
TUYA,213.258,5.21,-73.43,1.504,,
ACVA,182.275,1.485,-78.882,,,
TIL,8.895,0,-6.035,,,
FNCH,42.186,0,-21.142,,,
DSEY,128.3,3158.1,142,9.9,,
DV,10.92,76.248,45.492,,,
TDUP,85.633,14.544,-36.807,,,
DSGN,0.077,0,-1.908,,,
RPHM,17.501,0,-15.473,,,
AGL,123.633,74.88,-106.574,,,
OLK,6.162,56.278,4.003,,,
SKYT,4.605,43.839,0.3,,,
EWTX,23.653,0,-9.924,,,
RXRX,69.883,12.418,-62.441,,,
COMP,491.7,441.2,-402.9,,,
ZY,143.589,0,-223.323,,,
NPCE,4.123,0,-22.031,,,
ZH,129.305,0.415,-152.014,,,
AKYA,11.636,24.671,-13.504,,,
BMEA,0.239,0,-1.195,,,
TMCI,12.139,19.223,-3.535,,,
SWIM,56.655,216.332,35.068,,,
PRVA,46.889,39.725,16.062,,,
TSP,63.61,4.579,-87.28,,,
HOWL,17.896,2.542,-9.936,,,
FSBC,28.863,53.253,38.205,0.107,,11.635
HNST,13.543,39.212,-25.748,,,
GLBE,5.034,1.064,-4.951,,,
PATH,232.386,20.391,-505.765,,,
IMPL,37.001,0,-41.566,,,
OTLY,10.571,64.335,-31.168,0.52,,
AVAH,3.327,1060.781,79.979,,,
RAIN,5.794,3.175,-10.828,,,
WDH,138.514,1.767,-27.93,5.01,,
SQSP,43.649,339.429,61.34,,,
TALS,38.978,0,-18.378,,,
PAY,27.427,0,18.371,,,
VMEO,1.939,40.993,-60.253,,,
FIGS,38.353,0,1.032,,,
DLO,34.765,0.219,18.371,0.189,,
VERA,3.195,0.01,-11.606,,,
OMIC,5.5,2.4,-12.77,0.088,,
OGN,319,138,3662,,,
IEDI,,,,,,
SBGI,1333,12584,474,11.8,,
SCKT,0.959,0.715,0.607,0.056,,
CEPU,24.95,512.525,240.013,0.894,,
DISH,2443.643,13053.024,1878.876,16,,
HA,373.056,1203.8,327.477,7.437,,
NHTC,96.035,1.564,-5.259,0.152,,
LSI,17.458,1978.022,234.716,1.943,,
REMI,0.115,0.005,-0.479,0.002,,
PLAY,24.655,1854.743,148.079,15.908,,
GIC,97.2,58.7,65.3,1.43,,
NIDB,2.864,36,7.092,,,4.336
GTPS,4.3,0,3.125,,,0.115
CNK1,488.215,3135.821,409.952,32.5,,
WAB,604.2,4333.6,1169.5,27.5,,
AMRB,15.258,13.598,11.13,0.102,,2.461
HSBI,30.458,23.351,18.234,,,6.229
BNCC,10.523,17.158,31.018,0.282,,9.101
ACTG,57.359,1.264,-23.418,0.017,,
WSTG,14.984,2.189,8.566,0.142,,
DSWL,22.514,0,1.541,1.105,,
TK,353.241,4131.618,377.681,5.7,,
AMNL,0.053,43.842,-4.043,,,
AUBN,15.172,0,14.796,0.1635,,4.183
CIB,5562.623,6628.17,2701.161,31.075,,1882.983
CICN,0.017,0.464,-1.349,0.014,,
GVP,,3,0.2,0.363,,
DIT,0.338,63.503,9.223,0.912,,
RWT,196.966,13482.19,496.315,0.372,,
WINT,22.578,5.402,-24.893,0.032,,
EAF,80.935,1816.28,974.045,1.346,,
AAWW,103.029,2377.734,193.611,3.587,,
SHO,816.857,954.215,153.93,0.047,,
HBPCF,0.206,0,-7.492,0.018,,
KFRC,19.831,79.627,76.856,2.3,,
IART,198.911,1400.565,260.867,4,,
SVC,27.633,6137.587,377.046,0,,
BREW,0.469,56.957,-13.418,0.655,,
ASML,3963.886,3671.333,3131.788,24.9,,
FABP,16.884,5,14.467,,,2.83
FETM,23.803,59.475,19.639,,,8.627
BTN,4.951,11.816,-3.893,0.296,,
ACGL,726.23,2506.432,1868.397,4.3,,
SMSI,28.268,5.774,10.451,0.198,,
MD,112.767,1797.3,408.495,9.48,,
NOVT,78.944,264.287,73.126,2.29,,
ERIE,336.739,106.507,357.339,5.7,,
RE,808.036,803.741,1024.865,1.603,,
SRNN,2.485,0,2.054,,,0.918
MYGN,93.2,233.5,52.8,2.6,,
ZCOM,0,5.5,2.717,,,
RNR,1379.068,1202.105,1055.285,0.566,,
THG,215.7,653.4,559.6,4.3,,
DOFSQ,156.281,2109.635,-281.258,2.5,,
RICK,14.097,127.774,37.492,2.2,,
POOL,28.583,621.672,341.246,4.5,,
KKPNY,858.47,7302.043,1071.685,11.248,,
GCV,,,,,,
BAP,1864.682,5119.03,2647.015,35.828,,993.373
DVA,1102.372,10701.326,1755.53,65,,
BANR,234.359,335.122,236.628,2.198,,56.768
OPK,85.452,291.574,-196.507,6.096,,
HSIC,106.097,799.175,732.966,19,,
MLSS,1.516,0,-3.998,0.016,,
SWM,103,558,139.2,3.4,,
ASFI,,0,9.47,0.056,,
TLK,1318.167,2447.373,3009.918,24.272,,
AEIS,346.441,412.065,84.557,10.917,,
EL,2987,2896,2607,48,,
WAT,335.715,1647.678,724.649,7.467,,
SAM,36.67,55.982,155.823,2.128,,
FFIC,49.787,559.082,82.807,0.474,,117.016
IMH,24.666,2710.222,158.906,0.53,,
IVAC,19.767,9.532,3.932,0.258,,
NTAP,2658,1239,931,10.8,,
E,6726.363,26560.942,6725.241,32.053,,
SRHIF,15.055,55.735,-43.611,0.273,,
NWPX,31.014,7.468,30.918,0.765,,
WSTL,20.869,0.25,-9.281,0.102,,
NVAX,78.823,330.615,-129.597,0.165,,
CTXS,545.761,952.308,571.565,8.4,,
NUAN,560.961,793.536,222.046,8.1,,
HTLF,206.607,291.685,262.717,1.908,,80.6
SMID,1.364,4.382,2.546,0.232,,
TGTX,112.637,39.188,-169.055,0.134,,
BDR,0.572,2.615,-7.641,0.093,,
MSM,32.286,266.431,406.923,6.7,,
SGU,4.899,120.447,60.058,3.446,,
HIG,185,4549,2740,19.5,,
KFS,13.478,262.058,10.911,0.172,,
NYMX,5.239,0.003,-13.325,0.003,,
CLB,11.092,369.943,102.003,4.3,,
ASTC,1.588,0,-8.417,0.03,,
SOMC,5.966,34.512,15.734,,,6.427
SCCO,1925.1,7518.8,2753,14.301,,
BESIY,312.414,319.739,103.423,1.534,,
BYFC,3.016,56.57,2.671,0.064,,6.386
TTNP,5.223,4.169,-16.844,0.021,,
OTEX,941.009,2604.878,602.729,13.1,,
INBP,0.475,5.544,2.704,0.137,,
IDRA,40.019,0.899,-45.886,0.036,,
NICE,228.323,316.803,239.56,5.996,,
ACCA,0.03,0.175,-0.997,0.007,,
AGFMF,51.66,207.283,49.287,0.629,,
ENG,8.307,1.458,-1.401,0.251,,
HRBR,69.454,122.651,-1.509,1.377,,
9352B,8795,11079,-8725,633,,
WYY,6.88,5.594,0.886,0.249,,
APT,6.548,2.337,3.022,0.115,,
PBHC,8.284,55.572,13.314,0.163,,13.528
PLBC,46.942,10.875,26.479,0.183,,1.747
IRIX,12.653,1.795,-8.974,0.132,,
LNDC,0.36,127.741,-0.753,0.796,,
PAYD,0.476,0.096,-0.712,0.017,,
TGC,3.055,0.041,-0.505,0.012,,
EAWD,0,0,-0.989,0.002,,
CTLP,27.464,0.276,-13.379,0.126,,
LPTH,4.605,5.64,-0.284,0.35,,
CMCO,114.45,278.485,95.949,2.997,,
CCTC,0.093,1.068,-2.062,0.002,,
UNTY,21.106,53.134,36.437,0.209,,18.055
FORD,3.093,0.026,-3.097,0.073,,
ALXN,2685.5,2612,2140,3.082,,
CSGS,156.548,425.445,132.203,4.339,,
REV,104.3,2999.5,81.7,7.1,,
EVTN,0.674,0.358,0.612,0.006,,
SGRP,10.458,3.42,10.191,1.631,,
NSFDF,2.203,2.059,3.116,0.01,,
MLGF,20.074,222.164,25.064,0.079,,12.444
IAG,830.6,449.3,-282.9,4.832,,
ACEXF,2.253,77.083,12.314,,,
FNRN,111.493,7.483,28.508,0.214,,1.859
IRM,193.555,10004.252,779.404,25,,
HUBG,168.729,217.272,160.17,5,,
IDT,80.168,0,8.159,1.285,,
ABUS,31.799,22.01,-70.245,0.08,,
PRGX,14.982,44.038,-1.463,1.5,,
ELLO,49.947,167.648,-2.363,0.011,,
SPH,2.441,1227.057,150.854,3.494,,
CENX,38.9,292,-81.5,2.079,,
AIM,1.47,6.128,-12.443,0.026,,
AMFC,1.886,13.266,3.575,,,2.673
AABVF,0.177,0,-1.429,0.002,,
KVHI,18.365,4.765,-18.581,0.604,,
OCC,0.537,5.17,-5.169,0.366,,
FFDF,7.602,0.176,9.906,,,3.012
ALJJ,4.529,85.609,5.585,6.322,,
PLX,17.792,55.485,-10.717,0.196,,
CWCO,42.903,3.897,8.926,0.105,,
EPM,31.553,0,17.637,0.004,,
LORL,259.067,0.345,-6.612,0.019,,
CWBC,2.536,21.316,17.083,0.133,,11.382
SASR,82.469,665.887,184.408,0.932,,82.561
DFODQ,80.011,208.147,-198.356,14.5,,
STRM,1.649,0,-0.103,0.08,,
CRRTQ,34.292,0,-74.134,0.349,,
TRV,494,6338,3482,30.8,,
TCX,20.393,122.927,29.515,0.633,,
SYKE,127.246,239.81,100.095,54.9,,
JAKK,61.613,200.594,-0.893,0.477,,
PWVI,0.02,0.306,-0.413,0.001,,
FCN,369.373,451.987,305.595,5.567,,
GSHHY,224.376,160.554,158.257,42.583,,
PFBI,23.091,12.588,44.545,0.375,,9.677
TUP,123.2,658.2,189.3,11.3,,
MFIN,17.7,187.352,15.097,0.191,,
NBIX,112.279,86.756,226.555,0.7,,
PRLE,4.624,15.357,4.045,0.003,,
BOSC,0.339,2.33,0.565,0.098,,
SQZZF,174.915,0,133.248,0.145,,
SSNC,152.8,7426.4,930.3,22.8,,
SBSI,66.949,184.728,108.102,0.845,,70.982
RUSHA,181.62,555.446,216.507,7.244,,
AVDL,9.774,124.005,-16.826,0.05,,
CASI,53.621,1.019,-39.583,0.125,,
SBFG,27.064,18.31,20.534,0.252,,9.574
SHERF,166.1,554.1,-61.7,3.308,,
ANSS,872.094,515.299,521.63,4.1,,
ELGXQ,41.56,183.681,-41.711,0.488,,
AXAHY,24629.665,21486.432,7396.307,99.843,,
ECIA,0.385,1.145,-0.157,0.031,,
DCOM,155.488,316.454,73.977,0.457,,90.847
GLAE,5.5,27.9,-3.3,0.017,,
TRQ,1651.985,4187.27,-424.174,2.854,,
ICTSF,52.352,7.562,4.723,7.472,,
KTYB,21.922,86.051,25.079,0.233,,8.983
DASTY,2182.533,5846.123,950.376,19.361,,
FDS,359.799,574.174,438.035,9.681,,
PROV,70.632,101.107,13.215,0.187,,6.208
CHKP,279.2,,888.8,5.152,,
QGEN,623.647,1460.739,358.373,5.096,,
HWEN,0.67,7,1.472,,,0.715
CVCY,24.195,15.573,37.653,0.288,,2.559
OCFC,120.544,275.23,169.278,0.924,,52.823
CPKF,15.064,6.469,23.312,,,8.14
FFG,17.277,111.043,147.631,1.751,,
PEGA,68.363,52.61,-134.878,5.155,,
RCAR,12.185,0,-3.69,0.002,,
DYNR,0.355,2.169,-1.655,0.188,,
MGTI,0.216,0.059,-7.501,0.003,,
STRA,419.693,80.557,132.455,5.669,,
WHLM,6.993,1.296,0.673,0.114,,
HLAN,19.475,23.029,22.8,,,11.029
CHBH,20.617,17.507,22.161,0.207,,4.325
GERN,13.644,2.2,-72.505,0.046,,
TTEC,82.407,426.291,129.191,49.5,,
LAMR,26.188,3821.785,510.5,3.6,,
AIMD,0.409,0,-1.58,0.004,,
GES,284.613,994.212,65.239,15.8,,
PURE,0.398,0,-5.1,0.011,,
AWRE,47.742,0,-4.129,0.071,,
CSV,0.716,516.645,56.663,2.797,,
EGHSF,144.764,0.874,81.48,1.68,,
BAESY,3426.223,5477.718,2093.876,87.8,,
ETFC,750,1645,1453,4.122,,
CRWE,0.001,0.026,-0.093,0,,
TACT,4.203,2.104,0.343,0.134,,
SRCL,34.7,2915.4,199.4,19.5,,
MVIS,5.837,1.357,-26.472,0.03,,
MMAC,8.555,192.126,-1.476,0,,
SGB,12.123,22.679,10.469,0.112,,4.453
SSREY,7562,10669,1689,15.401,,
AEZS,7.838,0.255,-9.544,0.012,,
BKRIY,13327.042,12415.829,1785.393,10.44,,415.208
QEPC,4.999,22.3,-9.706,,,
VLNSF,101.05,33.145,17.996,1.779,,
WLFC,6.72,1198.723,165.632,0.232,,
8356B,1131,10608,1633,2.256,,
OCN,492.34,7851.909,250.041,5.3,,486.218
ANF,671.267,1484.597,68.668,44,,
ENDP,1454.531,8439.51,601.772,3.172,,
SPPI,64.418,2.372,-138.923,0.146,,
5952B,291.4,7538.8,776.2,,,
ATRS,23.201,45.836,0.992,0.178,,
DVD,7.577,0.112,4.845,0.06,,
BXLC,0.938,0,5.485,,,
HFBK,6.065,13.187,7.091,0.081,,2.187
WTBA,37.808,51.098,45.574,0.171,,32.245
9625A,512,880,333,1.655,,
BJRI,22.394,591.333,48.25,22.725,,
