fyear,tic,gsector,ggroup,gind,gsubind,naics,sic,spcsrc,at,act,invt,lt,lct,ap,teq,re,sale,cogs,xopr,ni,oancf,ivncf,fincf
2019,AGMJF,20,2030,203030,20303010,483113,4400,B,1147.377,114.429,10.583,486.956,156.845,60.674,660.421,651.122,567.908,408.24,439.523,24.159,137.758,-153.367,11.7
2018,ALCO,30,3020,302020,30202010,111310,100,B,423.422,72.24,41.033,245.827,21.498,3.764,177.595,151.111,81.281,51.361,66.133,13.05,19.055,22.447,-12.637
2019,ALCO,30,3020,302020,30202010,111310,100,B,417.388,61.977,40.143,217.99,28.951,4.163,199.398,198.049,122.251,64.05,78.499,37.833,48.832,-4.96,-52.294
2018,PBAJ,25,2550,255040,25504050,447110,5500,C,0,0,0,0.06,0.06,0.006,-0.06,-121.729,0,0,0.033,-0.033,0,0,0
2019,PBAJ,25,2550,255040,25504050,447110,5500,C,0,0,0,0.074,0.074,0.004,-0.074,-121.743,0,0,0.014,-0.014,0,0,0
2018,Y,40,4030,403010,40301050,524126,6331,B-,25344.896,,,17652.186,,168.667,7692.71,5375.359,6873.46,6629.47,6629.47,39.539,402.423,345.432,-536.684
2019,Y,40,4030,403010,40301050,524126,6331,B-,26931.604,,,18154.87,,188.399,8776.734,6606.513,9025.716,7697.61,7697.61,857.801,714.405,-476.539,-103.214
2018,HON,20,2010,201050,20105010,336413,9997,A-,57773,24362,4326,39415,18924,5607,18358,30541,41802,27119,32931,6765,6434,1027,-5032
2019,HON,20,2010,201050,20105010,336413,9997,A-,58679,24303,4421,39973,18098,5730,18706,34496,36709,22975,28224,6143,6897,-533,-6600
2018,SWKS,45,4530,453010,45301020,334413,3674,B+,4828.9,2262.2,490.2,731.9,389.7,229.9,4097,3724.1,3868,1629.1,2247.8,918.4,1260.6,-1150.4,-993.7
2019,SWKS,45,4530,453010,45301020,334413,3674,B+,4839.6,2234.6,609.7,717.3,374,190.5,4122.3,4304.7,3376.8,1353,1963.1,853.6,1367.4,-336.9,-912.5
2018,HES,10,1010,101020,10102020,2111,1311,B-,21433,4459,245,10545,2203,495,10888,3951,6323,3057,3780,-282,1939,-1566,-2526
2019,HES,10,1010,101020,10102020,2111,1311,B-,21782,3156,261,12076,2510,411,9706,2836,6495,3106,3719,-408,1642,-2843,52
2018,AMR1,20,2030,203020,20302010,481111,4512,,70878,19257,1442,59108,17121,1707,11770,-5032,44530,31573,38914,1658,1943,-1910,-147
2019,AMR1,20,2030,203020,20302010,481111,4512,,71890,20527,1754,58468,17560,1990,13422,-3481,45761,32323,39805,1972,2429,-2146,-282
2018,UHAL,20,2030,203040,20304020,532120,7510,B+,11891.713,,103.504,8199.324,,556.873,3692.389,3910.264,3768.707,2593.721,2593.721,370.857,975.583,-1571.136,514.582
2019,UHAL,20,2030,203040,20304020,532120,7510,B+,13438.024,,101.083,9217.304,,554.353,4220.72,4434.054,3978.868,2802.435,2802.435,442.048,1075.513,-1766.649,512.32
2018,ABLT,15,1510,151010,15101050,322220,2670,C,127.595,68.733,31.764,84.076,35.947,11.026,43.519,37.976,202.594,143.199,196.915,8.299,11.559,-3.521,-3.13
2019,ABLT,15,1510,151010,15101050,322220,2670,C,132.568,65.872,33.841,93.792,35.545,10.85,38.776,33.162,204.811,141.626,205.849,-4.641,5.192,-7.87,-0.352
2018,ABM,20,2020,202010,20201050,561720,7340,A-,3627.5,1171,0,2172.9,792.5,221.9,1454.6,762.1,6442.2,5700.9,6138.9,97.8,320.9,-48.1,-295.8
2019,ABM,20,2020,202010,20201050,561720,7340,A-,3692.6,1275.4,0,2150.6,902.4,280.7,1542,832.4,6498.6,5718.7,6165.3,127.4,262.7,-58.3,-184.8
2018,PRI,40,4030,403010,40301020,524113,6311,A,12595.048,,13.61,11133.535,,366.424,1461.513,1461.086,1899.843,1442.533,1442.533,324.094,478.067,-232.801,-260.997
2019,PRI,40,4030,403010,40301020,524113,6311,A,13688.531,,43.233,12036.04,,368.677,1652.491,1652.079,2052.504,1528.282,1528.282,366.391,485.513,-201.884,-290.134
2018,ECOL,20,2020,202010,20201050,562211,4955,B,947.898,194.668,0,588.681,83.232,17.754,359.217,175.533,565.928,353.275,445.615,49.595,81.485,-148.759,72.861
2019,ECOL,20,2020,202010,20201050,562211,4955,B,2231.244,332.971,0,1219.864,180.77,46.906,1011.38,194.72,685.509,421.373,550.113,33.14,79.616,-455.725,384.434
2018,AEP,55,5510,551010,55101010,2211,4911,A-,68802.8,4113.9,921.1,49704,8648.8,1874.3,19098.8,9204.9,16195.7,11170.4,11170.4,1923.8,5223.2,-6353.6,1161.9
2019,AEP,55,5510,551010,55101010,2211,4911,A-,75892.3,4077.8,1169.2,55936.2,10299.1,2085.8,19956.1,9753.2,15561.4,10454.6,10454.6,1921.1,4270.1,-7144.5,2862.9
2018,AXP,40,4020,402020,40202010,522210,6141,B+,188602,,0,166312,,84750,22290,9902,43281,33021,33021,6921,8930,-19615,5101
2019,AXP,40,4020,402020,40202010,522210,6141,B+,198321,,0,175250,,85206,23071,11134,47020,36250,36250,6759,13632,-16707,-519
2018,AXP1,40,4020,402020,40202010,522298,6153,,40042,,0,37846,,2869,2196,2035,1461,249,249,387,941,-4073,3040
2019,AXP1,40,4020,402020,40202010,522298,6153,,37357,,0,34770,,2133,2587,2426,1615,230,230,418,777,-3278,2450
2018,AFL,40,4030,403010,40301020,524114,6321,A-,140406,,0,116944,,5636,23462,33939,21768,17430,17430,2920,6014,-3582,-1616
2019,AFL,40,4030,403010,40301020,524114,6321,A-,152768,,0,123809,,6535,28959,40906,22369,17594,17594,3304,5455,-3171,-1713
2018,AIG,40,4030,403010,40301030,524126,6331,B-,491984,,0,434675,,,57309,19471,47560,39973,39973,-6,61,-223,794
2019,AIG,40,4030,403010,40301030,524126,6331,B-,525064,,0,457637,,,67427,28066,49310,37687,37687,3348,-991,-5475,6379
2018,ANAT,40,4030,403010,40301030,524113,6311,B+,26912.353,,0,21640.838,,1481.294,5271.515,5314.214,3326.382,3133.175,3133.175,158.995,495.51,-884.761,281.578
2019,ANAT,40,4030,403010,40301030,524113,6311,B+,28597.566,,0,22601.803,,1489.979,5995.763,6046.375,4070.143,3322.606,3322.606,620.363,506.412,-523.723,201.148
2018,ARL,60,6010,601020,60102020,531120,6512,C,826.149,,0,505.022,,25.576,321.127,179.666,142.601,71.693,84.401,173.699,-172.332,147.625,42.784
2019,ARL,60,6010,601020,60102020,531120,6512,C,830.641,,0,534.125,,24.768,296.516,163.708,73.925,32.663,45.999,-15.958,-40.641,-3.705,21.042
2018,AMS,35,3510,351020,35102015,621999,8090,B-,57.502,9.946,0,26.454,9.474,0.435,31.048,7.896,19.714,5.483,9.477,1.023,8.062,-1.526,-7.246
2019,AMS,35,3510,351020,35102015,621999,8090,B-,53.783,10.742,0,21.972,8.214,0.557,31.811,8.555,20.605,6.344,10.404,0.659,8.047,-0.99,-7.07
2018,AMSWA,45,4510,451030,45103010,511210,7372,B+,161.31,112.502,0,46.703,43.101,2.448,114.607,-1.729,108.706,44.633,95.709,6.803,23.93,-7.213,-8.223
2019,AMSWA,45,4510,451030,45103010,511210,7372,B+,171.293,125.666,0,51.871,47.458,1.643,119.422,-9.013,115.466,44.49,101.315,6.742,25.982,-3.59,-3.866
2018,AVD,15,1510,151010,15101030,325320,2870,B,593.587,310.188,159.895,264.357,145.528,66.535,329.23,258.333,454.272,252.75,402.41,24.195,11.346,-27.697,11.133
2019,AVD,15,1510,151010,15101030,325320,2870,B,670.098,336.199,163.313,325.942,138.638,64.881,344.156,268.42,468.186,272.189,427.942,13.601,9.403,-54.837,46.406
2018,AME,20,2010,201040,20104010,334513,3823,A,8662.288,1836.144,624.744,4420.366,1258.704,399.571,4241.922,5102.723,4845.872,2986.82,3570.842,777.933,925.518,-1210.044,13.04
2019,AME,20,2010,201040,20104010,334513,3823,A,9844.559,2025.771,624.567,4729.067,1425.858,377.219,5115.492,5854.473,5158.557,3136.855,3747.135,861.297,1114.422,-1150.925,72.913
2018,AMGN,35,3520,352010,35201010,325414,2836,A-,66416,37618,2940,53916,13488,1207,12500,-18746,23747,2154,11238,8394,11296,14339,-22490
2019,AMGN,35,3520,352010,35201010,325414,2836,A-,59707,18440,3584,50034,12835,1371,9673,-21858,23362,2321,11606,7842,9150,5709,-15767
2018,AP,15,1510,151040,15104050,332111,3460,C,571.119,227.866,94.196,478.15,167.453,38.9,92.969,-79.789,419.432,351.839,409.907,-69.335,-6.724,-3.373,11.246
2019,AP,15,1510,151040,15104050,332111,3460,C,506.56,193.412,82.289,450.944,124.232,33.271,55.616,-120.003,397.904,326.157,376.084,-20.986,-7.097,-2.82,-3.78
2018,AXR,20,2020,202010,20201070,237210,6552,C,100.53,,57.773,10.684,,1.257,89.846,42.021,12.831,11.159,15.373,1.527,0.592,0.152,-0.549
2019,AXR,20,2020,202010,20201070,237210,6552,C,96.666,,53.449,12.029,,1.49,84.637,36.682,18.783,15.227,18.23,-5.903,0.765,-0.009,2.51
